Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
7/2006 - 9/2006,3611.5,1.8,177.6,4.6,4.9,84.0,2.3
8/2006 - 10/2006,3609.4,1.7,165.9,4.6,4.6,87.7,2.4
9/2006 - 11/2006,3615.4,2.0,158.2,4.5,4.4,88.8,2.5
10/2006 - 12/2006,3616.1,1.8,153.6,4.5,4.2,87.5,2.4
11/2006 - 1/2007,3622.9,2.2,149.6,4.5,4.1,83.5,2.3
12/2006 - 2/2007,3611.4,2.1,146.5,4.3,4.1,80.1,2.2
1/2007 - 3/2007,3604.0,1.5,152.1,4.3,4.2,80.1,2.2
2/2007 - 4/2007,3604.6,1.6,156.5,4.3,4.3,77.0,2.1
3/2007 - 5/2007,3611.4,1.7,155.9,4.3,4.3,78.8,2.2
4/2007 - 6/2007,3621.6,2.1,156.3,4.2,4.3,81.0,2.2
5/2007 - 7/2007,3633.4,1.6,159.0,4.1,4.4,83.5,2.3
6/2007 - 8/2007,3652.6,1.5,167.2,4.2,4.6,84.2,2.3
7/2007 - 9/2007,3642.2,0.8,156.5,4.1,4.3,80.4,2.2
8/2007 - 10/2007,3623.1,0.4,143.7,4.0,4.0,81.9,2.3
9/2007 - 11/2007,3615.8,0.0,128.2,3.7,3.5,79.3,2.2
10/2007 - 12/2007,3631.3,0.4,118.2,3.4,3.3,74.5,2.1
11/2007 - 1/2008,3643.4,0.6,113.5,3.4,3.1,74.5,2.0
12/2007 - 2/2008,3631.6,0.6,111.4,3.3,3.1,68.1,1.9
1/2008 - 3/2008,3627.4,0.6,117.9,3.3,3.2,69.7,1.9
2/2008 - 4/2008,3628.8,0.7,119.7,3.3,3.3,65.1,1.8
3/2008 - 5/2008,3627.3,0.4,121.2,3.3,3.3,66.9,1.8
4/2008 - 6/2008,3627.0,0.1,120.8,3.2,3.3,67.8,1.9
5/2008 - 7/2008,3632.5,0.0,124.1,3.2,3.4,69.9,1.9
6/2008 - 8/2008,3648.1,-0.1,128.5,3.3,3.5,68.6,1.9
7/2008 - 9/2008,3644.8,0.1,133.1,3.5,3.7,66.1,1.8
8/2008 - 10/2008,3639.7,0.5,130.9,3.6,3.6,61.8,1.7
9/2008 - 11/2008,3633.1,0.5,136.0,3.9,3.7,64.5,1.8
10/2008 - 12/2008,3647.2,0.4,140.5,4.1,3.9,68.7,1.9
11/2008 - 1/2009,3651.5,0.2,156.9,4.6,4.3,75.3,2.1
12/2008 - 2/2009,3660.1,0.8,171.8,5.1,4.7,74.9,2.0
1/2009 - 3/2009,3666.7,1.1,187.2,5.2,5.1,77.9,2.1
2/2009 - 4/2009,3664.1,1.0,196.5,5.3,5.4,78.1,2.1
3/2009 - 5/2009,3678.2,1.4,198.4,5.3,5.4,84.0,2.3
4/2009 - 6/2009,3672.4,1.3,201.9,5.3,5.5,83.3,2.3
5/2009 - 7/2009,3681.1,1.3,212.2,5.4,5.8,87.6,2.4
6/2009 - 8/2009,3679.2,0.9,215.6,5.5,5.9,86.9,2.4
7/2009 - 9/2009,3673.9,0.8,207.8,5.4,5.7,88.6,2.4
8/2009 - 10/2009,3650.2,0.3,188.2,5.2,5.2,87.5,2.4
9/2009 - 11/2009,3648.8,0.4,179.5,5.1,4.9,88.8,2.4
10/2009 - 12/2009,3632.2,-0.4,171.4,5.0,4.7,83.3,2.3
11/2009 - 1/2010,3638.5,-0.4,166.2,4.9,4.6,78.8,2.2
12/2009 - 2/2010,3624.1,-1.0,158.3,4.7,4.4,76.0,2.1
1/2010 - 3/2010,3623.2,-1.2,161.1,4.6,4.4,78.3,2.2
2/2010 - 4/2010,3619.8,-1.2,165.1,4.5,4.6,75.2,2.1
3/2010 - 5/2010,3618.5,-1.6,172.8,4.6,4.8,73.3,2.0
4/2010 - 6/2010,3626.7,-1.2,172.7,4.6,4.8,72.3,2.0
5/2010 - 7/2010,3629.1,-1.4,166.7,4.3,4.6,72.0,2.0
6/2010 - 8/2010,3638.7,-1.1,166.4,4.3,4.6,69.9,1.9
7/2010 - 9/2010,3639.3,-0.9,160.0,4.2,4.4,70.8,1.9
8/2010 - 10/2010,3640.8,-0.3,151.9,4.2,4.2,70.1,1.9
9/2010 - 11/2010,3640.7,-0.2,141.5,4.0,3.9,71.0,1.9
10/2010 - 12/2010,3650.4,0.5,134.6,3.9,3.7,66.3,1.8
11/2010 - 1/2011,3662.4,0.7,128.6,3.8,3.5,66.9,1.8
12/2010 - 2/2011,3654.2,0.8,122.5,3.6,3.4,61.2,1.7
1/2011 - 3/2011,3658.2,1.0,124.0,3.5,3.4,65.6,1.8
2/2011 - 4/2011,3674.4,1.5,132.1,3.6,3.6,68.0,1.9
3/2011 - 5/2011,3693.3,2.1,135.8,3.6,3.7,68.7,1.9
4/2011 - 6/2011,3701.7,2.1,137.6,3.6,3.7,65.0,1.8
5/2011 - 7/2011,3714.5,2.4,137.5,3.5,3.7,64.3,1.7
6/2011 - 8/2011,3720.4,2.2,130.1,3.3,3.5,67.8,1.8
7/2011 - 9/2011,3724.8,2.4,126.7,3.3,3.4,65.7,1.8
8/2011 - 10/2011,3721.0,2.2,124.8,3.3,3.4,58.3,1.6
9/2011 - 11/2011,3723.0,2.3,120.9,3.3,3.2,54.9,1.5
10/2011 - 12/2011,3731.4,2.2,116.6,3.3,3.1,52.7,1.4
11/2011 - 1/2012,3735.5,2.0,112.8,3.2,3.0,54.9,1.5
12/2011 - 2/2012,3754.5,2.7,119.3,3.4,3.2,56.4,1.5
1/2012 - 3/2012,3760.4,2.8,123.3,3.3,3.3,58.8,1.6
2/2012 - 4/2012,3758.1,2.3,124.3,3.3,3.3,58.0,1.5
3/2012 - 5/2012,3768.7,2.0,123.7,3.2,3.3,54.4,1.4
4/2012 - 6/2012,3781.8,2.2,127.1,3.3,3.4,54.9,1.5
5/2012 - 7/2012,3791.9,2.1,129.0,3.2,3.4,56.8,1.5
6/2012 - 8/2012,3792.0,1.9,130.8,3.3,3.4,63.3,1.7
7/2012 - 9/2012,3776.4,1.4,132.1,3.4,3.5,59.4,1.6
8/2012 - 10/2012,3780.1,1.6,129.9,3.4,3.4,57.4,1.5
9/2012 - 11/2012,3776.9,1.4,126.4,3.4,3.3,53.5,1.4
10/2012 - 12/2012,3789.8,1.6,116.6,3.2,3.1,56.2,1.5
11/2012 - 1/2013,3809.1,2.0,122.3,3.5,3.2,60.0,1.6
12/2012 - 2/2013,3815.9,1.6,124.7,3.5,3.3,58.5,1.5
1/2013 - 3/2013,3832.8,1.9,133.9,3.5,3.5,60.4,1.6
2/2013 - 4/2013,3830.6,1.9,134.5,3.5,3.5,61.0,1.6
3/2013 - 5/2013,3848.3,2.1,135.2,3.5,3.5,62.8,1.6
4/2013 - 6/2013,3856.7,2.0,133.3,3.4,3.5,61.4,1.6
5/2013 - 7/2013,3862.6,1.9,135.2,3.3,3.5,59.0,1.5
6/2013 - 8/2013,3869.6,2.0,136.3,3.3,3.5,59.1,1.5
7/2013 - 9/2013,3864.8,2.3,134.6,3.3,3.5,56.8,1.5
8/2013 - 10/2013,3852.3,1.9,129.8,3.3,3.4,56.6,1.5
9/2013 - 11/2013,3843.0,1.8,127.8,3.3,3.3,55.0,1.4
10/2013 - 12/2013,3857.8,1.8,118.5,3.2,3.1,55.6,1.4
11/2013 - 1/2014,3858.7,1.3,113.5,3.2,2.9,51.3,1.3
12/2013 - 2/2014,3826.9,0.3,112.3,3.1,2.9,47.0,1.2
1/2014 - 3/2014,3817.0,-0.4,119.0,3.2,3.1,48.4,1.3
2/2014 - 4/2014,3821.1,-0.2,122.1,3.2,3.2,53.9,1.4
3/2014 - 5/2014,3839.7,-0.2,122.2,3.2,3.2,60.7,1.6
4/2014 - 6/2014,3851.0,-0.1,127.6,3.2,3.3,58.3,1.5
5/2014 - 7/2014,3875.7,0.3,134.5,3.3,3.5,57.7,1.5
6/2014 - 8/2014,3897.9,0.7,137.2,3.3,3.5,55.0,1.4
7/2014 - 9/2014,3893.6,0.7,135.0,3.3,3.5,57.3,1.5
8/2014 - 10/2014,3887.0,0.9,131.3,3.3,3.4,58.1,1.5
9/2014 - 11/2014,3886.3,1.1,128.1,3.3,3.3,62.3,1.6
10/2014 - 12/2014,3895.3,1.0,122.6,3.3,3.1,62.9,1.6
11/2014 - 1/2015,3902.4,1.1,120.2,3.3,3.1,61.7,1.6
12/2014 - 2/2015,3908.1,2.1,121.4,3.3,3.1,57.3,1.5
1/2015 - 3/2015,3908.0,2.4,126.5,3.3,3.2,53.4,1.4
2/2015 - 4/2015,3893.4,1.9,127.2,3.3,3.3,49.5,1.3
3/2015 - 5/2015,3881.2,1.1,127.0,3.3,3.3,53.0,1.4
4/2015 - 6/2015,3890.9,1.0,129.2,3.3,3.3,55.5,1.4
5/2015 - 7/2015,3905.1,0.8,133.2,3.3,3.4,56.3,1.4
6/2015 - 8/2015,3919.5,0.6,137.7,3.3,3.5,55.1,1.4
7/2015 - 9/2015,3908.2,0.4,137.0,3.3,3.5,53.2,1.4
8/2015 - 10/2015,3898.8,0.3,133.9,3.3,3.4,53.6,1.4
9/2015 - 11/2015,3899.7,0.3,130.3,3.3,3.3,52.4,1.3
10/2015 - 12/2015,3903.9,0.2,123.6,3.3,3.2,53.1,1.4
11/2015 - 1/2016,3909.3,0.2,122.1,3.4,3.1,53.3,1.4
12/2015 - 2/2016,3910.5,0.1,122.9,3.4,3.1,50.6,1.3
1/2016 - 3/2016,3914.1,0.2,131.1,3.4,3.3,53.5,1.4
2/2016 - 4/2016,3908.5,0.4,134.5,3.4,3.4,53.3,1.4
3/2016 - 5/2016,3902.5,0.5,134.7,3.4,3.5,56.4,1.4
4/2016 - 6/2016,3911.2,0.5,136.9,3.4,3.5,54.5,1.4
5/2016 - 7/2016,3922.4,0.4,139.1,3.4,3.5,56.1,1.4
6/2016 - 8/2016,3933.0,0.3,141.7,3.4,3.6,56.1,1.4
7/2016 - 9/2016,3925.7,0.4,140.0,3.4,3.6,55.8,1.4
8/2016 - 10/2016,3918.9,0.5,136.3,3.4,3.5,55.8,1.4
9/2016 - 11/2016,3907.3,0.2,131.0,3.4,3.4,55.1,1.4
10/2016 - 12/2016,3909.5,0.1,122.4,3.3,3.1,54.6,1.4
11/2016 - 1/2017,3922.1,0.3,121.2,3.3,3.1,50.3,1.3
12/2016 - 2/2017,3928.4,0.5,121.3,3.3,3.1,48.2,1.2
1/2017 - 3/2017,3931.7,0.4,126.7,3.3,3.2,48.9,1.2
2/2017 - 4/2017,3925.1,0.4,127.1,3.2,3.2,49.5,1.3
3/2017 - 5/2017,3927.0,0.6,127.6,3.2,3.2,48.0,1.2
4/2017 - 6/2017,3931.1,0.5,125.7,3.1,3.2,46.2,1.2
5/2017 - 7/2017,3945.9,0.6,130.2,3.2,3.3,45.2,1.1
6/2017 - 8/2017,3952.7,0.5,131.1,3.1,3.3,46.6,1.2
7/2017 - 9/2017,3946.9,0.5,129.4,3.1,3.3,44.9,1.1
8/2017 - 10/2017,3947.3,0.7,124.2,3.1,3.1,44.7,1.1
9/2017 - 11/2017,3945.9,1.0,118.8,3.0,3.0,42.0,1.1
10/2017 - 12/2017,3950.2,1.0,109.8,3.0,2.8,42.4,1.1
11/2017 - 1/2018,3963.0,1.0,106.1,2.9,2.7,40.1,1.0
12/2017 - 2/2018,3972.4,1.1,106.5,2.9,2.7,40.2,1.0
1/2018 - 3/2018,3975.4,1.1,111.6,2.9,2.8,38.8,1.0
2/2018 - 4/2018,3970.1,1.1,112.6,2.8,2.8,41,1.0
3/2018 - 5/2018,3963.7,0.9,112.1,2.8,2.8,40.9,1.0
4/2018 - 6/2018,3969.4,1.0,112.5,2.8,2.8,41.4,1.0
5/2018 - 7/2018,3977.2,0.8,114.9,2.8,2.9,44.1,1.1
6/2018 - 8/2018,3991.8,1.0,117.9,2.8,3.0,45.5,1.1
7/2018 - 9/2018,3985.1,1.0,118.1,2.8,3.0,47.4,1.2
8/2018 - 10/2018,3981.5,0.9,116.2,2.8,2.9,46.7,1.2
9/2018 - 11/2018,3971.1,0.6,110.8,2.8,2.8,45.9,1.2
10/2018 - 12/2018,3973.4,0.6,105.7,2.8,2.7,44.5,1.1
11/2018 - 1/2019,3974.4,0.3,101.8,2.8,2.6,42.2,1.1
12/2018 - 2/2019,3969.2,-0.1,102.5,2.8,2.6,40.3,1.0
1/2019 - 3/2019,3970.8,-0.1,110.4,2.8,2.8,38.9,1.0
2/2019 - 4/2019,3977.3,0.2,112.3,2.8,2.8,38.0,1.0
3/2019 - 5/2019,3983.3,0.5,114.1,2.8,2.9,39.2,1.0
4/2019 - 6/2019,3985.0,0.4,114.3,2.8,2.9,41.2,1.0
5/2019 - 7/2019,3985.8,0.2,118.5,2.9,3.0,40.7,1.0
6/2019 - 8/2019,3984.2,-0.2,120.6,2.9,3.0,41.0,1.0
7/2019 - 9/2019 #,3975.7,-0.2,120.3,2.9,3.0,41.5,1.0
