Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
7/1985 - 9/1985,2637.1,-0.2,95.1,3.5,3.6,55.4,2.1
8/1985 - 10/1985,2621.0,-0.2,92.9,3.3,3.5,55.5,2.1
9/1985 - 11/1985,2634.1,0.7,94.1,3.3,3.6,59.6,2.3
10/1985 - 12/1985,2644.1,0.9,87.3,3.3,3.3,62.1,2.3
11/1985 - 1/1986,2659.1,1.1,81.4,3.2,3.1,67.1,2.5
12/1985 - 2/1986,2636.5,0.2,78.5,3.1,3.0,53.9,2.0
1/1986 - 3/1986,2656.0,2.4,83.2,3.1,3.1,61.7,2.3
2/1986 - 4/1986,2659.0,3.2,84.0,3.2,3.2,57.7,2.2
3/1986 - 5/1986,2684.4,3.5,78.2,3.1,2.9,64.2,2.4
4/1986 - 6/1986,2704.9,2.8,80.9,3.2,3.0,52.2,1.9
5/1986 - 7/1986,2721.6,2.5,82.6,3.2,3.0,45.8,1.7
6/1986 - 8/1986,2727.9,2.8,87.3,3.1,3.2,39.9,1.5
7/1986 - 9/1986,2718.6,3.1,81.2,2.9,3.0,36.5,1.3
8/1986 - 10/1986,2711.9,3.5,76.1,2.6,2.8,35.4,1.3
9/1986 - 11/1986,2717.4,3.2,67.8,2.3,2.5,33.0,1.2
10/1986 - 12/1986,2719.4,2.9,58.9,2.1,2.2,31.8,1.2
11/1986 - 1/1987,2706.0,1.8,51.4,2.0,1.9,31.4,1.2
12/1986 - 2/1987,2661.4,0.9,49.4,2.0,1.9,27.3,1.0
1/1987 - 3/1987,2661.7,0.2,50.6,2.0,1.9,25.4,1.0
2/1987 - 4/1987,2679.9,0.8,48.3,1.9,1.8,24.7,0.9
3/1987 - 5/1987,2713.3,1.1,43.4,1.7,1.6,29.5,1.1
4/1987 - 6/1987,2716.3,0.4,41.2,1.7,1.5,29.4,1.1
5/1987 - 7/1987,2732.1,0.4,45.0,1.7,1.6,28.6,1.0
6/1987 - 8/1987,2750.4,0.8,48.2,1.6,1.8,27.3,1.0
7/1987 - 9/1987,2751.9,1.2,49.9,1.6,1.8,26.8,1.0
8/1987 - 10/1987,2763.8,1.9,51.2,1.7,1.9,28.0,1.0
9/1987 - 11/1987,2772.2,2.0,51.5,1.7,1.9,29.7,1.1
10/1987 - 12/1987,2782.9,2.3,47.7,1.7,1.7,28.4,1.0
11/1987 - 1/1988,2777.5,2.6,43.2,1.7,1.6,25.9,0.9
12/1987 - 2/1988,2757.3,3.6,37.6,1.5,1.4,22.6,0.8
1/1988 - 3/1988,2739.3,2.9,36.9,1.4,1.3,25.1,0.9
2/1988 - 4/1988,2731.0,1.9,38.0,1.5,1.4,24.6,0.9
3/1988 - 5/1988,2739.0,0.9,39.1,1.5,1.4,22.5,0.8
4/1988 - 6/1988,2745.7,1.1,42.8,1.7,1.6,18.8,0.7
5/1988 - 7/1988,2759.8,1.0,42.4,1.5,1.5,16.0,0.6
6/1988 - 8/1988,2773.2,0.8,46.6,1.5,1.7,16.4,0.6
7/1988 - 9/1988,2775.4,0.9,40.7,1.3,1.5,15.3,0.6
8/1988 - 10/1988,2772.4,0.3,37.6,1.2,1.4,16.9,0.6
9/1988 - 11/1988,2781.2,0.3,32.8,1.1,1.2,18.0,0.6
10/1988 - 12/1988,2790.8,0.3,30.6,1.1,1.1,18.3,0.7
11/1988 - 1/1989,2787.1,0.3,27.9,1.1,1.0,19.7,0.7
