product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Floral Lace Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-lace-thong-5718670,US TOPSHOP,Lingerie,Topshop US,"Keep slinky silhouettes seam-free with this lace thong underneath. A semi-sheer style with a low rise waist. 89% Polyamide, 11% Elastane. Machine wash.",3.0,1.0,,"2,4,6,8,10,12","2,4,6,8,10,12",BLACK
Longline Padded Bralet, $30.00, $30.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/longline-padded-bralet-6688926,US TOPSHOP,Lingerie,Topshop US,"Keep your cropped styles looking luxe with this delicate lace longline padded bralet in black. We’re styling with a frill denim skirt for a look that can be transitioned from day to night. 86% Nylon, 14% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,14",BLACK
Pineapple Print Boypants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/pineapple-print-boypants-6553350,US TOPSHOP,Lingerie,Topshop US,"Keep your underwear looking cute with these low rise boypants with good coverage in all-over adorable pineapple print. 95% Cotton, 5% Elastane. Machine wash.",,,,"2,4,6,8,10,12","2,4,6,8,12",Blue
Little Pony Cheeky Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/little-pony-cheeky-knickers-6764112,US TOPSHOP,Lingerie,Topshop US,"Keep your underwear looking cute with these pale pink Little Pony cheeky knickers. 95% Cotton, 5% Elastane. Machine wash.",,,,"2,4,6,8,10,12","10,12",PALE PINK
Bralet by Tommy Hilfiger, $52.00, $52.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/bralet-by-tommy-hilfiger-6764097,US TOPSHOP,Lingerie,Topshop US,"Look to an iconic brand to elevate your under layers. These navy blue knickers by Tommy Hilfiger feature the label’s iconic branding to the underband. Matches with knickers. 94% Cotton, 6% Elastane. Machine wash.",,,,"XS,S,M,L,XL","XS,S,M,L,XL",NAVY BLUE
Shark Print Boypants, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/shark-print-boypants-6556686,US TOPSHOP,Lingerie,Topshop US,"Low rise boypants with good coverage. 95% Cotton, 5% Elastane. Machine wash.",,,,"2,4,6,8,10,12","4,6,8",MULTI
Lacey Microfibre Ladypant, $8.00, $8.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lacey-microfibre-ladypant-5875484,US TOPSHOP,Lingerie,Topshop US,Low rise ladypant in smooth microfibre with lace trim. Machine wash.,,,,"2,4,6,8,10,12",2,RED
Two Tone Lace Brazilian Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/two-tone-lace-brazilian-knickers-6451361,US TOPSHOP,Lingerie,Topshop US,"Nude two tone lace Brazilian knickers. 49% Polyamide, 36% Polyester, 15% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,12,14",Nude
Branded Jersey Crop Bra, $12.00, $12.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/branded-jersey-crop-bra-6553122,US TOPSHOP,Lingerie,Topshop US,"Pink jersey cropped bra with black perforated branded underband detail. 95% Cotton, 5% Elastane. Machine wash.",,,,"2,4,6,8,10,12","4,6,8,12",Pink
Sporty Lace Bralet, $30.00, $30.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/sporty-lace-bralet-6374365,US TOPSHOP,Lingerie,Topshop US,"Pretty meets sporty with this black lace non-padded bralet in black, with underwired detail for added support. 79% Polyamide, 21% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,12,14",BLACK
